Student_ID,Name,Math_Score,Science_Score,English_Score
1,Student_1,58,51,57
2,Student_2,89,51,88
3,Student_3,81,55,60
4,Student_4,96,78,79
5,Student_5,40,73,75
6,Student_6,83,64,79
7,Student_7,53,63,47
8,Student_8,86,68,65
9,Student_9,71,61,49
10,Student_10,82,79,92
11,Student_11,67,54,88
12,Student_12,58,40,65
13,Student_13,83,89,49
14,Student_14,46,85,83
15,Student_15,76,47,93
16,Student_16,48,77,97
17,Student_17,50,46,61
18,Student_18,69,61,49
19,Student_19,43,66,80
20,Student_20,77,97,63
21,Student_21,45,51,94
22,Student_22,85,66,68
23,Student_23,84,65,90
24,Student_24,82,63,51
25,Student_25,91,60,69
26,Student_26,72,41,54
27,Student_27,73,45,62
28,Student_28,43,67,49
29,Student_29,90,85,88
30,Student_30,68,56,56
31,Student_31,41,48,66
32,Student_32,74,66,56
33,Student_33,68,97,94
34,Student_34,72,80,78
35,Student_35,74,87,59
36,Student_36,86,56,48
37,Student_37,82,90,47
38,Student_38,70,92,64
39,Student_39,75,91,93
40,Student_40,69,80,79
41,Student_41,68,64,92
42,Student_42,88,49,43
43,Student_43,40,54,60
44,Student_44,49,68,40
45,Student_45,52,69,92
46,Student_46,82,66,95
47,Student_47,78,41,77
48,Student_48,61,87,87
49,Student_49,90,75,75
50,Student_50,70,84,78
51,Student_51,67,55,83
52,Student_52,46,56,59
53,Student_53,82,55,84
54,Student_54,60,84,52
55,Student_55,65,96,61
56,Student_56,43,68,88
57,Student_57,95,78,54
58,Student_58,96,83,76
59,Student_59,99,62,82
60,Student_60,86,54,73
61,Student_61,59,78,56
62,Student_62,88,93,57
63,Student_63,76,80,88
64,Student_64,72,41,81
65,Student_65,67,96,85
66,Student_66,85,85,44
67,Student_67,88,65,46
68,Student_68,59,57,69
69,Student_69,49,84,87
70,Student_70,47,59,74
71,Student_71,82,83,49
72,Student_72,75,95,46
73,Student_73,93,49,55
74,Student_74,67,42,57
75,Student_75,55,75,51
76,Student_76,59,70,47
77,Student_77,79,50,56
78,Student_78,70,97,65
79,Student_79,66,86,94
80,Student_80,57,79,47
81,Student_81,81,80,52
82,Student_82,68,92,69
83,Student_83,76,80,93
84,Student_84,90,74,97
85,Student_85,69,83,58
86,Student_86,42,64,91
87,Student_87,90,42,91
88,Student_88,96,44,69
89,Student_89,46,59,61
90,Student_90,40,58,61
91,Student_91,88,95,78
92,Student_92,46,54,82
93,Student_93,94,60,43
94,Student_94,54,50,58
95,Student_95,68,57,94
96,Student_96,80,82,50
97,Student_97,97,41,48
98,Student_98,47,69,90
99,Student_99,56,50,54
100,Student_100,52,73,58
101,Student_101,70,92,60
102,Student_102,54,63,65
103,Student_103,97,64,72
104,Student_104,70,78,56
105,Student_105,74,78,40
106,Student_106,88,56,71
107,Student_107,98,98,46
108,Student_108,67,50,75
109,Student_109,98,46,48
110,Student_110,81,57,69
111,Student_111,89,82,75
112,Student_112,95,55,53
113,Student_113,57,52,44
114,Student_114,85,93,65
115,Student_115,75,95,67
116,Student_116,97,90,83
117,Student_117,82,83,77
118,Student_118,66,53,65
119,Student_119,43,99,92
120,Student_120,63,44,40
121,Student_121,82,77,71
122,Student_122,88,89,60
123,Student_123,78,53,41
124,Student_124,84,65,58
125,Student_125,42,96,48
126,Student_126,83,40,56
127,Student_127,94,84,68
128,Student_128,78,98,60
129,Student_129,65,60,98
130,Student_130,42,66,70
131,Student_131,63,68,55
132,Student_132,50,58,40
133,Student_133,60,86,49
134,Student_134,78,78,90
135,Student_135,75,85,88
136,Student_136,81,52,87
137,Student_137,54,92,59
138,Student_138,64,73,81
139,Student_139,79,74,91
140,Student_140,80,63,94
141,Student_141,68,63,85
142,Student_142,47,64,92
143,Student_143,95,67,96
144,Student_144,55,69,88
145,Student_145,98,82,96
146,Student_146,40,61,98
147,Student_147,93,56,56
148,Student_148,87,62,95
149,Student_149,73,63,40
150,Student_150,85,62,45
151,Student_151,71,87,79
152,Student_152,71,95,61
153,Student_153,45,51,80
154,Student_154,42,42,71
155,Student_155,80,42,71
156,Student_156,92,91,52
157,Student_157,93,82,52
158,Student_158,55,67,47
159,Student_159,94,81,59
160,Student_160,50,50,54
161,Student_161,84,87,62
162,Student_162,92,43,48
163,Student_163,43,81,81
164,Student_164,75,80,82
165,Student_165,47,83,69
166,Student_166,75,57,87
167,Student_167,63,40,64
168,Student_168,63,85,86
169,Student_169,56,51,94
170,Student_170,66,41,64
171,Student_171,54,43,65
172,Student_172,81,85,65
173,Student_173,45,74,94
174,Student_174,58,61,67
175,Student_175,81,73,58
176,Student_176,49,59,49
177,Student_177,55,76,72
178,Student_178,73,49,61
179,Student_179,49,65,89
180,Student_180,69,84,69
181,Student_181,89,97,98
182,Student_182,82,52,45
183,Student_183,66,75,85
184,Student_184,79,44,94
185,Student_185,63,47,53
186,Student_186,68,87,80
187,Student_187,41,49,64
188,Student_188,40,78,56
189,Student_189,55,81,91
190,Student_190,80,42,86
191,Student_191,93,68,52
192,Student_192,86,70,62
193,Student_193,87,54,63
194,Student_194,69,42,93
195,Student_195,55,82,76
196,Student_196,95,50,97
197,Student_197,91,97,66
198,Student_198,49,82,52
199,Student_199,52,84,68
200,Student_200,42,76,96
201,Student_201,49,92,96
202,Student_202,94,40,92
203,Student_203,56,66,67
204,Student_204,86,83,82
205,Student_205,66,90,67
206,Student_206,84,73,77
207,Student_207,79,96,96
208,Student_208,77,62,78
209,Student_209,69,96,85
210,Student_210,93,53,41
211,Student_211,61,58,67
212,Student_212,96,66,99
213,Student_213,64,80,51
214,Student_214,40,41,81
215,Student_215,66,95,64
216,Student_216,98,72,91
217,Student_217,88,48,90
218,Student_218,98,85,49
219,Student_219,43,43,93
220,Student_220,48,56,49
221,Student_221,68,68,49
222,Student_222,54,76,70
223,Student_223,59,79,59
224,Student_224,95,99,86
225,Student_225,65,92,52
226,Student_226,73,71,93
227,Student_227,42,77,78
228,Student_228,84,89,80
229,Student_229,42,63,53
230,Student_230,55,55,72
231,Student_231,62,57,77
232,Student_232,62,65,88
233,Student_233,61,48,84
234,Student_234,84,73,79
235,Student_235,71,74,62
236,Student_236,90,65,77
237,Student_237,83,76,63
238,Student_238,80,50,62
239,Student_239,95,69,52
240,Student_240,88,82,49
241,Student_241,66,59,46
242,Student_242,71,88,72
243,Student_243,40,40,81
244,Student_244,82,84,42
245,Student_245,61,50,54
246,Student_246,83,48,63
247,Student_247,56,98,60
248,Student_248,85,50,76
249,Student_249,43,97,79
250,Student_250,64,89,64
251,Student_251,40,80,74
252,Student_252,40,96,64
253,Student_253,47,74,66
254,Student_254,53,45,69
255,Student_255,62,70,98
256,Student_256,60,67,91
257,Student_257,72,88,80
258,Student_258,86,81,89
259,Student_259,47,43,57
260,Student_260,47,74,48
261,Student_261,66,77,59
262,Student_262,53,63,83
263,Student_263,84,76,94
264,Student_264,63,74,65
265,Student_265,48,83,91
266,Student_266,57,92,55
267,Student_267,92,95,85
268,Student_268,61,89,63
269,Student_269,55,81,81
270,Student_270,91,55,87
271,Student_271,44,55,76
272,Student_272,44,53,60
273,Student_273,88,78,90
274,Student_274,49,65,82
275,Student_275,42,71,40
276,Student_276,80,74,51
277,Student_277,90,58,88
278,Student_278,40,77,57
279,Student_279,41,73,84
280,Student_280,52,55,80
281,Student_281,57,83,43
282,Student_282,66,90,79
283,Student_283,72,74,57
284,Student_284,79,90,63
285,Student_285,58,60,42
286,Student_286,62,80,81
287,Student_287,92,70,62
288,Student_288,42,72,58
289,Student_289,95,71,42
290,Student_290,65,95,55
291,Student_291,46,96,53
292,Student_292,58,43,54
293,Student_293,49,68,71
294,Student_294,99,71,90
295,Student_295,53,71,76
296,Student_296,50,80,47
297,Student_297,85,52,66
298,Student_298,66,77,92
299,Student_299,92,53,93
300,Student_300,69,42,41
301,Student_301,61,56,99
302,Student_302,95,89,40
303,Student_303,87,79,78
304,Student_304,59,91,95
305,Student_305,79,74,82
306,Student_306,51,78,86
307,Student_307,62,56,71
308,Student_308,87,54,72
309,Student_309,66,83,87
310,Student_310,62,87,97
311,Student_311,93,68,62
312,Student_312,49,45,64
313,Student_313,59,66,55
314,Student_314,76,79,82
315,Student_315,96,76,49
316,Student_316,90,97,48
317,Student_317,54,60,65
318,Student_318,75,99,60
319,Student_319,67,95,74
320,Student_320,66,89,55
321,Student_321,84,53,51
322,Student_322,44,73,48
323,Student_323,70,48,48
324,Student_324,72,66,58
325,Student_325,91,71,57
326,Student_326,63,44,89
327,Student_327,41,82,69
328,Student_328,54,76,56
329,Student_329,57,76,42
330,Student_330,59,54,79
331,Student_331,58,76,81
332,Student_332,81,86,68
333,Student_333,79,63,97
334,Student_334,50,90,50
335,Student_335,79,95,48
336,Student_336,99,48,59
337,Student_337,44,45,44
338,Student_338,42,71,91
339,Student_339,89,47,60
340,Student_340,70,71,65
341,Student_341,70,87,85
342,Student_342,90,54,48
343,Student_343,52,91,60
344,Student_344,67,83,57
345,Student_345,53,56,89
346,Student_346,90,44,57
347,Student_347,96,89,49
